Symbol	importance
Acsl3	Acsl3	0.131699184284541
Ssb	Ssb	0.128443016314467
Atp5j	Atp5j	0.128305309878339
Dlx2	Dlx2	0.128192183395426
Skil	Skil	0.127882579024399
Ftl1	Ftl1	0.127593928761939
Zcchc8	Zcchc8	0.126020766285541
Tomm7	Tomm7	0.121828499984766
Gm13826	Gm13826	0.120157091728601
Tardbp	Tardbp	0.119617471916034
Rps4x	Rps4x	0.119484046661088
H3f3a	H3f3a	0.119011652032312
Rps27l	Rps27l	0.118873238965424
Gnb2l1	Gnb2l1	0.115321733920861
Dynll1	Dynll1	0.114720632415736
Tmem167	Tmem167	0.113864768777769
Smc3	Smc3	0.11255240984725
Gm1821	Gm1821	0.112071746967403
Pa2g4	Pa2g4	0.111977285865225
Marcksl1	Marcksl1	0.111322334130219
Eef2	Eef2	0.110979603460891
Eef1g	Eef1g	0.110334807718903
Ppap2b	Ppap2b	0.108565823486295
Dlx6as1	Dlx6as1	0.108507620304725
Btg2	Btg2	0.108486016576201
Baz1b	Baz1b	0.108338555944963
Tead1	Tead1	0.107844550460325
Ube2t	Ube2t	0.1067447118881
Snrpg	Snrpg	0.106686126729207
Slc4a4	Slc4a4	0.106525926769331
Fkbp3	Fkbp3	0.106288001515968
Ckap2	Ckap2	0.105535053417041
Rps3	Rps3	0.105344352209803
Cdk2ap1	Cdk2ap1	0.105077372509615
Mcmbp	Mcmbp	0.104622592476905
Lbr	Lbr	0.104308581103125
Cnbp	Cnbp	0.10350307057468
Park7	Park7	0.103404620841965
Alyref	Alyref	0.103147624485986
Psmb5	Psmb5	0.103132695554912
Ndufa4	Ndufa4	0.103088464679211
Slc7a10	Slc7a10	0.102539644690833
Rps15a	Rps15a	0.101649150474707
Omg	Omg	0.101021733689903
Dnaja1	Dnaja1	0.100709074039224
Cfl2	Cfl2	0.10030593608753
Smarce1	Smarce1	0.100176353168336
Mad2l1	Mad2l1	0.0999755420736295
Tubb3	Tubb3	0.0998526721173471
Rbx1	Rbx1	0.0987530682005615
Fam120a	Fam120a	0.0985294104787027
Tceb2	Tceb2	0.0983050262620154
Rad21	Rad21	0.0981803516286203
Smc6	Smc6	0.0974897308597427
H2afx	H2afx	0.0974348360368558
Fabp5	Fabp5	0.0970115161251565
Sgol1	Sgol1	0.0968811048724295
Cnih4	Cnih4	0.0968333408983389
Nrxn3	Nrxn3	0.0967394917571388
Rpl38	Rpl38	0.0958660331816599
Klf13	Klf13	0.0948862238569956
Pfn1	Pfn1	0.0947422606357273
Neil3	Neil3	0.0943787553353529
Snrpb	Snrpb	0.093769275580593
Nusap1	Nusap1	0.0934498512830923
Lsm3	Lsm3	0.0932523881816192
Pdcd4	Pdcd4	0.0930932270718563
Csde1	Csde1	0.0918395700519982
Dtymk	Dtymk	0.0917939118587209
Hepacam	Hepacam	0.0917103237042309
Tuba1c	Tuba1c	0.0915984017885908
Fabp7	Fabp7	0.091014001568909
Spc25	Spc25	0.0909662292827221
Ybx1	Ybx1	0.0903684531652208
Cox5a	Cox5a	0.0900516754731027
Ilf3	Ilf3	0.0899304560263792
Nono	Nono	0.0890627784589196
Gsk3b	Gsk3b	0.0889815801742459
Gjb6	Gjb6	0.0886304087628303
Cox7a2	Cox7a2	0.0884020842076662
Ndufb8	Ndufb8	0.0883123524245856
Mir682	Mir682	0.0879984626382484
Psmb6	Psmb6	0.0879749416350423
Pla2g7	Pla2g7	0.0878321224211344
Sgol2	Sgol2	0.0864307557019958
Egfr	Egfr	0.0864213121612281
Phf6	Phf6	0.0862050669793289
Cdc7	Cdc7	0.0855122027564065
Nucks1	Nucks1	0.0848631318101268
Uba52	Uba52	0.0836128587094685
Mapt	Mapt	0.0831789778262143
Rbbp7	Rbbp7	0.0829521432743779
Cfdp1	Cfdp1	0.0825597573104418
Ddx39b	Ddx39b	0.0820621293297764
Lgr4	Lgr4	0.0818008617854398
Igfbp5	Igfbp5	0.081796984802588
Sf3b1	Sf3b1	0.081346465859227
Gpm6a	Gpm6a	0.0813122342443311
Cenpm	Cenpm	0.0811240460003719
Hnrnpr	Hnrnpr	0.0808192398178045
Mtfr2	Mtfr2	0.0807939778138961
Insm1	Insm1	0.0804124696521821
Ewsr1	Ewsr1	0.080251375090906
Naa38	Naa38	0.0801651155740811
G3bp1	G3bp1	0.0799447940731572
Hmmr	Hmmr	0.0794526237047976
Pcna	Pcna	0.079074247708933
Gse1	Gse1	0.0787846038453551
Rpl39	Rpl39	0.0777777999210224
Rcor2	Rcor2	0.0771612936020389
Id2	Id2	0.0762005647967779
Slc1a3	Slc1a3	0.0760929783828004
Sfpq	Sfpq	0.0760455236845673
Sep15	Sep15	0.0748593402751763
Fez1	Fez1	0.0747136188655458
Sub1	Sub1	0.0745768619614839
Rad51ap1	Rad51ap1	0.0740403367483582
Hspa14	Hspa14	0.0739706625733141
Eprs	Eprs	0.0738071472427539
Notch1	Notch1	0.0737101418444023
Top1	Top1	0.0735843460518517
Wdr76	Wdr76	0.0735293357300286
Kif23	Kif23	0.0734777479760041
Arhgap21	Arhgap21	0.0734458978058978
Hist1h2ae	Hist1h2ae	0.0734412443963121
Mgll	Mgll	0.0734406600045649
Trim33	Trim33	0.0734051345453101
Tmpo	Tmpo	0.0732095138307714
Psip1	Psip1	0.0730049943697779
Atad5	Atad5	0.0729965010247228
Kdm6b	Kdm6b	0.072795035674732
Snw1	Snw1	0.0725094332613892
Trim2	Trim2	0.0721123907982734
Hdgf	Hdgf	0.0718232857785489
Rnaseh2b	Rnaseh2b	0.0709317151863629
Ccdc25	Ccdc25	0.0708441718877927
Ppp2r1a	Ppp2r1a	0.0708435276354204
Arpp19	Arpp19	0.0707569264069264
Tsn	Tsn	0.0705690449699474
Sh3rf1	Sh3rf1	0.0703052562277053
Cdca3	Cdca3	0.0702757083016155
Celf2	Celf2	0.0700030350103803
Mcm3	Mcm3	0.069928578314782
Hmgb3	Hmgb3	0.0687431887842201
Rbbp4	Rbbp4	0.0686411416377342
Vdac3	Vdac3	0.0686328630131013
Mphosph8	Mphosph8	0.0683275444170129
Tmsb10	Tmsb10	0.0682751995364065
Son	Son	0.0682525329117306
Pou3f2	Pou3f2	0.0681267020335986
Hmgn5	Hmgn5	0.0678657783190618
Hnrnpm	Hnrnpm	0.0678583271481671
Map4k4	Map4k4	0.0676176925707672
Pdap1	Pdap1	0.0670731425834884
Csnk2a2	Csnk2a2	0.0670380804332536
Tspan7	Tspan7	0.0670077403504362
Oxct1	Oxct1	0.0669710347331654
Dbi	Dbi	0.0667400230896024
Ywhaq	Ywhaq	0.0667207142418096
Gpbp1	Gpbp1	0.0665635346601022
Lrrc58	Lrrc58	0.0664606213500798
Mis18bp1	Mis18bp1	0.0663709242717841
Actg1	Actg1	0.0663016658957029
Dad1	Dad1	0.0662144813315199
Cadm1	Cadm1	0.0660447828320125
Pola1	Pola1	0.0658102633859802
Clic4	Clic4	0.0652743701485302
Dpy30	Dpy30	0.0651652042546838
Naa25	Naa25	0.0651560011134479
Racgap1	Racgap1	0.0647546177959971
Ddx42	Ddx42	0.064692313014596
Rplp1	Rplp1	0.0645751489754641
Prnp	Prnp	0.0644125856299131
Uchl3	Uchl3	0.0643524916189067
Prpf40a	Prpf40a	0.0643217712572285
Pfdn5	Pfdn5	0.0642695208344091
Ckb	Ckb	0.0639213609710782
Exosc8	Exosc8	0.0637780885360905
Rassf2	Rassf2	0.0637321094026141
Zbtb20	Zbtb20	0.0635253353401744
Ednrb	Ednrb	0.0634238611120685
Slbp	Slbp	0.0633906926406926
Skp1a	Skp1a	0.0631892546050441
Hmgn2	Hmgn2	0.0628513519381167
Ifrd1	Ifrd1	0.0625824711018767
Slc39a1	Slc39a1	0.062245451133451
X5830416P10Rik	X5830416P10Rik	0.0621861386979034
Kdm5a	Kdm5a	0.0621397552173352
D4Wsu53e	D4Wsu53e	0.0618978824709721
Adam22	Adam22	0.0614146894989637
Maged1	Maged1	0.0611172660029038
Apoe	Apoe	0.0609595951354946
Hist1h1e	Hist1h1e	0.0608809904148301
Zfp410	Zfp410	0.0607696964560309
Tcerg1	Tcerg1	0.0597819528838263
Rps28	Rps28	0.0596412843991471
Usp37	Usp37	0.0595779914779273
Serpine2	Serpine2	0.0592142114780622
Myo6	Myo6	0.0590807644180012
Med10	Med10	0.0589107570217009
Trim67	Trim67	0.0583447006716891
Timeless	Timeless	0.0581382670023883
Bex2	Bex2	0.0581148955146398
Dcx	Dcx	0.0579870062822211
Srsf3	Srsf3	0.0578030475543707
Paics	Paics	0.0577955700427941
Dhx9	Dhx9	0.0576988199382317
Kif4	Kif4	0.0576231448530528
Twf1	Twf1	0.0576042718178477
Crmp1	Crmp1	0.0575206111158457
Rps29	Rps29	0.0573123172327473
Ubc	Ubc	0.0572966415530693
Rbm15	Rbm15	0.0572746957009799
Mcm6	Mcm6	0.0572534704112157
Psma5	Psma5	0.0570380952380952
Ttc9c	Ttc9c	0.0569954298053294
Dctpp1	Dctpp1	0.0569858097463335
Mastl	Mastl	0.0568280590016
X0610010K14Rik	X0610010K14Rik	0.0563125420678612
Npc1	Npc1	0.0563072563780683
Rcc2	Rcc2	0.0561541638964319
Dusp1	Dusp1	0.0561521352389574
X1110038B12Rik	X1110038B12Rik	0.0560911907837604
Cd81	Cd81	0.0560644278969084
Tpt1	Tpt1	0.0560180016486156
Gria2	Gria2	0.0557941081618501
Arglu1	Arglu1	0.055717569117364
Smarca5	Smarca5	0.0556074923673126
Wee1	Wee1	0.055424303109823
Hmgcr	Hmgcr	0.0553020216498477
Riok1	Riok1	0.055204481426346
H2afv	H2afv	0.0550408550874337
X2700029M09Rik	X2700029M09Rik	0.0549593143414805
Nasp	Nasp	0.0549357028935976
Rplp2	Rplp2	0.054920681463531
X2410006H16Rik	X2410006H16Rik	0.054213547527587
Myh10	Myh10	0.0541590609451619
Psma4	Psma4	0.0539216192543291
Hnrnpc	Hnrnpc	0.0537817075749864
Cep110	Cep110	0.0533900343921978
Eif5a	Eif5a	0.0533620283787986
Fam89b	Fam89b	0.0533557910446631
Mrpl12	Mrpl12	0.0532370354752365
Lrif1	Lrif1	0.0531354425132121
Pan3	Pan3	0.0530755449092332
Laptm4a	Laptm4a	0.0530634891116316
Ptprz1	Ptprz1	0.0529029771206475
Mrps14	Mrps14	0.0528357388316151
Zwilch	Zwilch	0.0526830256293414
Scg5	Scg5	0.0525954545454545
Wdr47	Wdr47	0.0521655763904818
Nol4	Nol4	0.0521347550757307
Tcf12	Tcf12	0.0521278045018309
Chek1	Chek1	0.052098536036036
Mex3a	Mex3a	0.0518645636427192
Ndufa6	Ndufa6	0.0518181854193668
Slc25a4	Slc25a4	0.0516914114117779
Srsf6	Srsf6	0.0516786057074388
Midn	Midn	0.0516680220539998
Nup210	Nup210	0.0512908644136995
Ncapd3	Ncapd3	0.0512784942912325
Rnps1	Rnps1	0.0512353350089299
Chchd2	Chchd2	0.0512287875595665
Uba2	Uba2	0.0512124440962826
Psma6	Psma6	0.0511614634274647
Phip	Phip	0.0511009578656638
Dyrk1a	Dyrk1a	0.0509983414036046
Hp1bp3	Hp1bp3	0.0509457367556823
Uchl4	Uchl4	0.050614537196554
Morf4l2	Morf4l2	0.0505754715733253
Frg1	Frg1	0.0505179760267878
Ywhaz	Ywhaz	0.0504829233506268
Rps15a.ps6	Rps15a.ps6	0.0504077567656515
Gmnn	Gmnn	0.0502039351675546
Lars2	Lars2	0.0499831565787291
Anp32b	Anp32b	0.0499534194165471
Dync1h1	Dync1h1	0.0499397209421403
X1190002F15Rik	X1190002F15Rik	0.0498703720487957
Miat	Miat	0.0497226858248135
Ndufa13	Ndufa13	0.0495918101798699
Ptprs	Ptprs	0.0495843438067386
Kpna3	Kpna3	0.0494241264317793
Pqbp1	Pqbp1	0.0493885017692299
Tcp1	Tcp1	0.0493740096653683
Coq7	Coq7	0.0493514321648707
Ktn1	Ktn1	0.0492078334364049
Psme1	Psme1	0.0489127765264411
Wdhd1	Wdhd1	0.0488326113527763
Nedd8	Nedd8	0.0486285440366086
Ctcf	Ctcf	0.0485816777993249
Lars	Lars	0.0485675573486372
Chp1	Chp1	0.0484828030357442
Supt16	Supt16	0.0483498586996717
Cox17	Cox17	0.0482411539020003
Dhfr	Dhfr	0.0481833108840462
Dnmt1	Dnmt1	0.0480252973410868
Luc7l	Luc7l	0.0478540964926668
Rpl41	Rpl41	0.0478145064483977
Tmem209	Tmem209	0.047709489729286
Cetn3	Cetn3	0.0476458981902918
Zfp148	Zfp148	0.0473911933262255
Mtch2	Mtch2	0.0472299367708824
Serf2	Serf2	0.0471389233954451
Dynlrb1	Dynlrb1	0.0470506370621708
Sncaip	Sncaip	0.0470199007076224
Ncapg2	Ncapg2	0.0468492349616205
Aff4	Aff4	0.0465875305250305
Clasp2	Clasp2	0.0464816799257796
Rttn	Rttn	0.0463456683185006
Ccnb1	Ccnb1	0.0461904363791033
X2700049A03Rik	X2700049A03Rik	0.0461873934630376
Ptges3	Ptges3	0.0461332981156115
Hsf2	Hsf2	0.0460588540010352
Mrpl33	Mrpl33	0.046040924262894
Ipo5	Ipo5	0.0460213487661763
Ppp1cb	Ppp1cb	0.0459929024463908
Dnajc8	Dnajc8	0.0459440966672506
Pbx1	Pbx1	0.0457793939393939
Snrpd1	Snrpd1	0.0457177254184888
Prkcdbp	Prkcdbp	0.0456538487517211
Gas5	Gas5	0.0454739812285245
Gatad1	Gatad1	0.045437935849838
Spin1	Spin1	0.0452581176793401
Fam32a	Fam32a	0.0451698375579116
Scrg1	Scrg1	0.0450090690842398
Gas1	Gas1	0.0449485181485181
Sox9	Sox9	0.0447735736923331
Rpf2	Rpf2	0.0446709620175255
Mrpl35	Mrpl35	0.0446662547467083
Nhp2l1	Nhp2l1	0.0446582342555897
Parp1	Parp1	0.0446186080586081
Asf1a	Asf1a	0.0445393866637564
Pbrm1	Pbrm1	0.0445285792040725
Rpl36	Rpl36	0.0444300633455208
Smarcad1	Smarcad1	0.0443912070405676
Atp5d	Atp5d	0.0442531475574954
Zfp472	Zfp472	0.0442338526472796
Nap1l1	Nap1l1	0.0442007112064684
Slitrk2	Slitrk2	0.0438455648926237
X9430015G10Rik	X9430015G10Rik	0.043842083900477
Arf1	Arf1	0.0437888915560148
Clasp1	Clasp1	0.0437216186835231
Gm5148	Gm5148	0.0437027248237674
Pfn2	Pfn2	0.0436461638626974
Tfdp1	Tfdp1	0.0434496561738738
Trpm7	Trpm7	0.043447717093834
Fzd2	Fzd2	0.0433482295482296
Grlf1	Grlf1	0.0433242392499515
Ddx1	Ddx1	0.0432778521895692
Hspa8	Hspa8	0.0432211420885302
Mrpl43	Mrpl43	0.043209605832593
Btf3	Btf3	0.0429524127219457
Sin3b	Sin3b	0.0428923746775406
Mll5	Mll5	0.0427896773311458
Med13l	Med13l	0.0426512633845967
Fbxo5	Fbxo5	0.0426167196938888
Prodh	Prodh	0.0426121709058456
Upf1	Upf1	0.0425769539443684
Rpa1	Rpa1	0.0424884324998714
Dpp9	Dpp9	0.0424726668183615
Cenph	Cenph	0.0424682432807774
Thoc2	Thoc2	0.0424639925730708
Nup205	Nup205	0.042160879915644
Rps17	Rps17	0.0421173138567661
Sall3	Sall3	0.0421039438793496
Atp5j2	Atp5j2	0.0420824970576453
Tcf19	Tcf19	0.0420678052024801
Ndufa3	Ndufa3	0.0420058234163497
Zfp36l1	Zfp36l1	0.041928354978355
Cdc123	Cdc123	0.0418905590588786
Sfmbt1	Sfmbt1	0.0417578941253921
Psmc1	Psmc1	0.0417461680138749
Cenpq	Cenpq	0.0416975784733066
Actr1a	Actr1a	0.0414070824327873
Sox4	Sox4	0.041268954604293
Psmb2	Psmb2	0.0412373489073292
Sepp1	Sepp1	0.0412308293686512
