ATAD2
BANF1
BIRC5
CCND2
CDCA8
CDK1
CKS2
CLU
DEK
DUT
EEF1A1
EZH2
GJA1
GLUL
HMGB2
HTRA1
JAG1
KIF15
MALAT1
MARCKS
PRC1
PTMA
RPL32
RPS11
RPS26
RRM2
SET
SMC2
SMC4
SOX11
TMSB4X
TOP2A
TPX2
TUBB5
PBK
